CASENUMBER,CASECLASSIFICATION,TYPEOFBUSINESS,TYPEOFCOMPLAINT,CONSTRUCTIONREFERRAL,CITATIONISSUED,OPENDATE,CLOSEDATE,OUTCOME,COMPLAINT,ADDRESS,COUNCILDISTRICT,LOCATION,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
2020 106899-CC,COVID-19,Residential/Apartment,Social Distancing,,,07/18/2020 12:00:00 AM,07/18/2020 12:00:00 AM,Referred to Appropriate Agency,"in alleyway behind this address, about 20 people, open containers not wear facial covering, children bouncy castle, BBQ  COVID-19 .Social Distancing",4016 CAMACHO STREET,9,POINT (-97.70527578 30.2919723),9,19,10,38,309,33
2020 103063-CC,COVID-19,Residential/Apartment,Social Distancing,,,07/12/2020 12:00:00 AM,07/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Social Distancing,1301 W OLTORF STREET,3,POINT (-97.76900239 30.24448218),3,9,3,85,64,75
2020 103899-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,07/13/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Chick-fil-a isnt enforcing mask regulations or making sure people stay 6 feet from each other  COVID-19 .Face Covering Non-Compliance - Business,503 W MARTIN LUTHER KING JR BOULEVARD,9,POINT (-97.74316194 30.28170245),9,52,10,60,217,24
2020 095361-CC,COVID-19,Other,Face-Covering,,,06/27/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19Face MasksKings Gas,2907 S 1ST STREET,3,POINT (-97.76323469 30.23606805),3,9,3,47,64,75
2020 096923-CC,COVID-19,Other,Face-Covering,,,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Face Covering Non-Compliancecovid 19,6920 MENCHACA ROAD,5,POINT (-97.80824885 30.20246739),5,5,1,,62,23
2020 086838-CC,COVID-19,Other,Social Distancing,,,06/10/2020 12:00:00 AM,06/10/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,covid19Report Social Distancing/Over OccupancyBusiness-HEB,1000 E 41ST STREET BUNIT  1,9,POINT (-97.7196515 30.30046327),9,6,10,50,217,65
2020 087124-CC,COVID-19,Other,Social Distancing,,,06/10/2020 12:00:00 AM,06/10/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID 19, Social Distancing, PPE",601 RIO GRANDE STREET,9,POINT (-97.74926907 30.27008948),9,52,10,60,217,24
2020 095422-CC,COVID-19,Other,Face-Covering,,,06/28/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Face CoveringPlanet K,1516 S LAMAR BOULEVARD,5,POINT (-97.76512606 30.25182152),5,9,1,2,217,75
2020 095312-CC,COVID-19,Other,Face-Covering,,,06/27/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19Face Masks7/11,1901 E WILLIAM CANNON DRIVE,2,POINT (-97.76570663 30.18802387),2,25,4,,484,20
2020 095353-CC,COVID-19,Other,Face-Covering,,,06/27/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19Face MaskAudi,12971 POND SPRINGS ROAD,6,POINT (-97.77200641 30.44029381),6,30,6,,540,46
2020 105970-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,This issue is also happening generally during all business hours  COVID-19 .Face Covering Non-Compliance - Business,11410 CENTURY OAKS TERRACE BUNIT STOR2,7,POINT (-97.72673724 30.4016842),7,22,7,45,217,18
2020 072890-CC,COVID-19,Parks,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,COVID-19/Education Provided,COVID19SOCIAL DISTANCINGBULL CREEK ROAD,6701 LAKEWOOD DRIVE,10,POINT (-97.78724986 30.36591575),10,17,5,,217,66
