CASENUMBER,CASECLASSIFICATION,TYPEOFBUSINESS,TYPEOFCOMPLAINT,CONSTRUCTIONREFERRAL,CITATIONISSUED,OPENDATE,CLOSEDATE,OUTCOME,COMPLAINT,ADDRESS,COUNCILDISTRICT,LOCATION,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,google_place_id,google_url,google_formatted_address,google_user_ratings_total,google_website,google_types,google_rating,google_business_status
2020 106899-CC,COVID-19,Residential/Apartment,Social Distancing,,,07/18/2020 12:00:00 AM,07/18/2020 12:00:00 AM,Referred to Appropriate Agency,"in alleyway behind this address, about 20 people, open containers not wear facial covering, children bouncy castle, BBQ  COVID-19 .Social Distancing",4016 CAMACHO STREET,9,POINT (-97.70527578 30.2919723),9,19,10,38,309,33,ChIJgY48DPu1RIYRcdD7-obWT2Y,"https://maps.google.com/?q=4016+Camacho+St,+Austin,+TX+78723,+USA&ftid=0x8644b5fb0c3c8e81:0x664fd686fafbd071","4016 Camacho St, Austin, TX 78723, USA",,,"[""premise""]",,
2020 103063-CC,COVID-19,Residential/Apartment,Social Distancing,,,07/12/2020 12:00:00 AM,07/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Social Distancing,1301 W OLTORF STREET,3,POINT (-97.76900239 30.24448218),3,9,3,85,64,75,ChIJJwMICNy0RIYRqw9fagI9zYY,"https://maps.google.com/?q=1301+W+Oltorf+St,+Austin,+TX+78704,+USA&ftid=0x8644b4dc08080327:0x86cd3d026a5f0fab","1301 W Oltorf St, Austin, TX 78704, USA",,,"[""street_address""]",,
2020 103899-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,07/13/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Chick-fil-a isnt enforcing mask regulations or making sure people stay 6 feet from each other  COVID-19 .Face Covering Non-Compliance - Business,503 W MARTIN LUTHER KING JR BOULEVARD,9,POINT (-97.74316194 30.28170245),9,52,10,60,217,24,ChIJ9cWGdHa1RIYR2oNnypsY8oQ,"https://maps.google.com/?q=503+W+Martin+Luther+King+Jr+Blvd,+Austin,+TX+78701,+USA&ftid=0x8644b5767486c5f5:0x84f2189bca6783da","503 W Martin Luther King Jr Blvd, Austin, TX 78701, USA",,,"[""premise""]",,
2020 095361-CC,COVID-19,Other,Face-Covering,,,06/27/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19Face MasksKings Gas,2907 S 1ST STREET,3,POINT (-97.76323469 30.23606805),3,9,3,47,64,75,ChIJd8S03-m0RIYR3BEIITAyq4w,"https://maps.google.com/?q=2907+S+1st+St,+Austin,+TX+78704,+USA&ftid=0x8644b4e9dfb4c477:0x8cab3230210811dc","2907 S 1st St, Austin, TX 78704, USA",,,"[""premise""]",,
2020 096923-CC,COVID-19,Other,Face-Covering,,,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Face Covering Non-Compliancecovid 19,6920 MENCHACA ROAD,5,POINT (-97.80824885 30.20246739),5,5,1,,62,23,ChIJv1iswp9MW4YRI2SWD4ZKdJg,"https://maps.google.com/?q=6920+Menchaca+Rd,+Austin,+TX+78745,+USA&ftid=0x865b4c9fc2ac58bf:0x98744a860f966423","6920 Menchaca Rd, Austin, TX 78745, USA",,,"[""premise""]",,
2020 086838-CC,COVID-19,Other,Social Distancing,,,06/10/2020 12:00:00 AM,06/10/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,covid19Report Social Distancing/Over OccupancyBusiness-HEB,1000 E 41ST STREET BUNIT  1,9,POINT (-97.7196515 30.30046327),9,6,10,50,217,65,EigxMDAwIEUgNDFzdCBTdCAjMSwgQXVzdGluLCBUWCA3ODc1MSwgVVNBIh0aGwoWChQKEglDM6B49bVEhhH-exFzeEoq-hIBMQ,"https://maps.google.com/?q=1000+E+41st+St+%231,+Austin,+TX+78751,+USA&ftid=0x8644b5f578a03343:0xd2d7aeaa67b8c4cc","1000 E 41st St #1, Austin, TX 78751, USA",,,"[""subpremise""]",,
2020 087124-CC,COVID-19,Other,Social Distancing,,,06/10/2020 12:00:00 AM,06/10/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID 19, Social Distancing, PPE",601 RIO GRANDE STREET,9,POINT (-97.74926907 30.27008948),9,52,10,60,217,24,Eio2MDEgUyBSaW8gR3JhbmRlIFN0LCBUYXlsb3IsIFRYIDc2NTc0LCBVU0EiGxIZChQKEgmZlGpncudEhhHSIsNU6HYjohDZBA,"https://maps.google.com/?q=601+S+Rio+Grande+St,+Taylor,+TX+76574,+USA&ftid=0x8644e772676a9499:0x352fd2f519dbebe3","601 S Rio Grande St, Taylor, TX 76574, USA",,,"[""street_address""]",,
2020 095422-CC,COVID-19,Other,Face-Covering,,,06/28/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Face CoveringPlanet K,1516 S LAMAR BOULEVARD,5,POINT (-97.76512606 30.25182152),5,9,1,2,217,75,ChIJW1TGdSC1RIYRuaWwhzk9e-A,"https://maps.google.com/?q=1516+S+Lamar+Blvd,+Austin,+TX+78704,+USA&ftid=0x8644b52075c6545b:0xe07b3d3987b0a5b9","1516 S Lamar Blvd, Austin, TX 78704, USA",,,"[""premise""]",,
2020 095312-CC,COVID-19,Other,Face-Covering,,,06/27/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19Face Masks7/11,1901 E WILLIAM CANNON DRIVE,2,POINT (-97.76570663 30.18802387),2,25,4,,484,20,ChIJi6sfhEGzRIYRa1KcrFMZgwo,"https://maps.google.com/?q=1901+E+William+Cannon+Dr,+Austin,+TX+78744,+USA&ftid=0x8644b341841fab8b:0xa831953ac9c526b","1901 E William Cannon Dr, Austin, TX 78744, USA",,,"[""premise""]",,
2020 095353-CC,COVID-19,Other,Face-Covering,,,06/27/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19Face MaskAudi,12971 POND SPRINGS ROAD,6,POINT (-97.77200641 30.44029381),6,30,6,,540,46,ChIJ9VQj1iXNRIYRxBBRezzufGA,"https://maps.google.com/?q=12971+Pond+Springs+Rd,+Austin,+TX+78729,+USA&ftid=0x8644cd25d62354f5:0x607cee3c7b5110c4","12971 Pond Springs Rd, Austin, TX 78729, USA",,,"[""premise""]",,
